2.33433,8.09602,13.4497
1.81977,-0.00920952,13.9246
3.33363,0.0556173,14.9839
1.8124,-0.0302202,13.8696
4.36174,-2.21546,11.3643
-1.38932,7.93442,13.3986
1.98076,0.835369,12.042
-1.08322,0.982878,10.069
1.64403,7.20244,15.1239
3.29868,-0.00268463,15.1524
2.37649,7.98353,14.2065
2.88552,7.98612,14.1833
-2.81708,8.05549,12.3065
-1.12098,0.993551,10.0421
2.33,7.99092,14.1593
2.1213,8.02936,13.9818
-1.9844,1.04108,9.73995
2.47495,7.97262,14.2934
3.58392,8.0309,13.9191
-2.20322,1.14175,8.85334
6.98631,8.08416,14.4371
3.56629,8.14163,13.3155
3.29609,8.22149,12.6037
2.9151,0.655566,11.9785
3.57757,8.23919,12.4914
4.67987,8.27437,12.4662
2.00118,2.03415,7.60035
1.60677,7.83036,15.1005
4.62512,8.28541,12.4326
3.29904,0.0865797,15.0769
-2.11306,0.882877,9.69605
0.907574,7.97656,13.9806
2.96156,0.648702,11.9509
3.22896,8.01368,14.0984
-0.781705,1.56836,5.22919
-2.22496,1.06842,8.82655
-0.271324,7.26784,13.8946
3.25792,8.01743,13.9453
2.68753,8.00743,13.903
6.65199,8.0914,14.1174
3.66283,8.0966,13.4511
4.30375,8.1216,13.4975
1.92857,7.67901,15.483
0.974399,7.93904,14.2392
4.05108,8.12738,13.3842
3.88871,8.14578,13.2234
-2.13811,0.80581,9.55663
-2.59015,1.01374,7.56457
4.36604,8.15254,13.1502
3.14286,8.185,12.792
-0.77143,1.36549,5.32722
-1.80647,8.01674,12.9976
2.99241,0.598463,11.9255
2.99459,0.598443,11.93
2.22798,6.95718,17.2785
4.08638,8.16591,13.067
2.91395,0.610082,11.959
2.91395,0.610082,11.959
2.63417,8.02736,13.8716
1.3869,7.61146,16.4952
-1.86516,8.00939,12.9348
2.48618,0.659343,12.497
2.76325,0.643896,12.0192
-0.698205,8.1386,12.6152
2.76308,0.644151,12.0202
2.48266,0.709075,12.5539
1.80666,-0.0302547,13.8959
1.85264,0.21208,14.6301
2.60525,8.23038,12.5451
1.24633,-0.336178,14.4664
2.48088,0.707816,12.5567
3.49516,8.23346,12.5244
2.1746,7.95309,14.3031
2.84357,8.02937,13.8598
2.69188,7.41757,16.8854
-1.86713,7.97327,13.3971
2.54861,0.0976835,15.8079
3.06525,8.02761,13.8265
