0.982895,0.00920401,-0.176838,-0.0506121,3.36016,-0.616221,1.00194
0.999814,-0.0129092,-0.000693584,-0.0142894,0.573445,-0.639279,0.222138
0.991845,-0.00771058,0.127212,-0.000646218,-1.88714,-0.17439,1.03236
0.967676,-0.0237401,0.250191,0.0210582,-3.72208,-0.547952,1.44493
0.971284,-0.0603317,0.230119,0.00349051,-4.13906,0.273579,2.72993
0.948888,-0.0509946,0.311127,0.0145156,-6.05619,0.316304,3.56412
0.996498,-0.030858,0.0777168,0.000249068,-1.29784,0.17741,1.63526
1,4.79757e-05,-0.00045556,-0.000272079,0.245555,0.293611,0.987536
0.984301,0.00381979,-0.167505,-0.0554843,3.09176,0.0878206,1.20718
0.976458,-0.0519826,-0.197232,-0.0701956,4.77819,-0.7542,1.02888
0.958014,-0.0129697,-0.274909,-0.0804182,5.59335,-0.874294,1.76563
